,date,stock_name,open,high,low,close,volume
0,2015-01-30 19:00:00,GS,142.6577,142.666,142.6577,142.666,400
1,2015-01-30 18:00:00,GS,142.6907,142.6907,142.4103,142.4103,800
2,2015-01-30 17:00:00,GS,142.6165,142.6165,142.6165,142.6165,200
3,2015-01-30 16:00:00,GS,142.2123,142.4268,142.2074,142.4103,436836
4,2015-01-30 15:00:00,GS,143.6567,143.895,142.1381,142.2535,593632
5,2015-01-30 14:00:00,GS,144.0971,144.9178,143.4908,143.697,258531
6,2015-01-30 13:00:00,GS,143.4331,144.1177,142.9877,144.093,229702
7,2015-01-30 12:00:00,GS,143.2516,143.8703,143.1196,143.4248,258021
8,2015-01-30 11:00:00,GS,143.3259,143.5486,142.699,143.2681,311509
9,2015-01-30 10:00:00,GS,143.664,144.1919,142.8722,143.3423,350539
10,2015-01-30 09:00:00,GS,143.8373,144.3239,143.2681,143.6847,203979
11,2015-01-30 08:00:00,GS,144.3487,144.3487,144.3487,144.3487,400
12,2015-01-30 06:00:00,GS,144.7611,144.7611,144.7611,144.7611,100
13,2015-01-29 19:00:00,GS,145.421,145.421,145.256,145.256,450
14,2015-01-29 18:00:00,GS,145.421,145.421,145.421,145.421,325
15,2015-01-29 16:00:00,GS,145.1653,145.8581,145.157,145.421,160467
16,2015-01-29 15:00:00,GS,144.2744,145.421,144.2662,145.124,446841
17,2015-01-29 14:00:00,GS,144.4889,145.025,144.126,144.3074,159142
18,2015-01-29 13:00:00,GS,143.9115,144.8188,143.5898,144.4806,149786
19,2015-01-29 12:00:00,GS,144.1342,144.5879,143.5321,143.8785,199466
20,2015-01-29 11:00:00,GS,143.6475,144.3487,143.2599,144.1342,204485
21,2015-01-29 10:00:00,GS,144.4229,144.6374,142.8887,143.7135,401425
22,2015-01-29 09:00:00,GS,143.0949,144.8766,142.7567,144.5466,405272
23,2015-01-29 08:00:00,GS,143.0207,143.1444,142.9877,143.1444,450
24,2015-01-28 19:00:00,GS,142.699,142.699,142.699,142.699,200
25,2015-01-28 18:00:00,GS,143.3753,143.3753,143.3753,143.3753,100
26,2015-01-28 17:00:00,GS,142.7815,142.7815,142.7815,142.7815,150
27,2015-01-28 16:00:00,GS,143.1031,143.1031,142.7402,142.7402,173498
28,2015-01-28 15:00:00,GS,144.8601,144.8848,142.6742,142.7815,808753
29,2015-01-28 14:00:00,GS,145.5777,146.2458,144.3569,144.8106,449572
30,2015-01-28 13:00:00,GS,145.7014,145.8994,145.4292,145.5117,163976
31,2015-01-28 12:00:00,GS,145.7509,146.1716,145.6684,145.7014,176439
32,2015-01-28 11:00:00,GS,145.4127,146.0066,145.1075,145.6932,247964
33,2015-01-28 10:00:00,GS,146.1551,146.4768,145.3467,145.4457,316345
34,2015-01-28 09:00:00,GS,146.419,147.0294,145.4705,146.0809,312255
35,2015-01-28 08:00:00,GS,146.6995,147.2191,146.4108,146.4933,6496
36,2015-01-28 07:00:00,GS,146.2458,146.65,146.2458,146.65,600
37,2015-01-27 19:00:00,GS,146.0149,146.0149,146.0149,146.0149,918
