Date,Close/Last,Volume,Open,High,Low
09/17/2024,$64.82,2039508,$64.87,$65.15,$64.695
09/16/2024,$65.56,1353074,$65.54,$65.62,$65.35
09/13/2024,$65.06,2074873,$64.97,$65.24,$64.905
09/12/2024,$64.88,1769500,$64.69,$64.925,$64.35
09/11/2024,$64.89,2244957,$65.15,$65.20,$64.49
09/10/2024,$65.35,3344678,$65.52,$65.60,$65.08
09/09/2024,$65.59,2533146,$65.46,$65.865,$65.3612
09/06/2024,$65.25,2463009,$65.45,$65.65,$65.24
09/05/2024,$65.46,2375603,$65.32,$65.725,$65.265
09/04/2024,$65.10,1782510,$64.89,$65.275,$64.89
09/03/2024,$64.86,2599785,$64.80,$65.03,$64.6899
08/30/2024,$64.79,3097449,$64.79,$64.92,$64.34
08/29/2024,$65.06,4439424,$64.28,$65.17,$64.28
08/28/2024,$64.39,3579436,$64.03,$64.39,$63.96
08/27/2024,$64.09,2353357,$64.00,$64.25,$63.85
08/26/2024,$63.63,1849980,$63.37,$63.76,$63.37
08/23/2024,$63.60,2898830,$62.90,$63.62,$62.79
08/22/2024,$62.52,4462849,$62.90,$63.19,$62.455
08/21/2024,$61.80,1545615,$61.57,$61.905,$61.355
08/20/2024,$61.36,1016476,$61.20,$61.51,$61.18
08/19/2024,$61.45,1632840,$61.06,$61.59,$61.025
08/16/2024,$60.99,3448717,$61.12,$61.21,$60.88
08/15/2024,$61.35,2315908,$61.09,$61.44,$60.90
08/14/2024,$60.86,2563629,$60.50,$60.99,$60.42
08/13/2024,$60.80,1751236,$60.40,$60.85,$60.335
08/12/2024,$60.19,2822646,$60.26,$60.395,$60.06
08/09/2024,$60.44,4222484,$60.69,$60.72,$60.285
08/08/2024,$61.42,1717658,$61.14,$61.605,$61.05
08/07/2024,$61.10,2452946,$61.29,$61.73,$61.09
08/06/2024,$61.32,5239793,$60.15,$61.52,$60.12
08/05/2024,$60.72,3950074,$60.66,$60.85,$60.28
08/02/2024,$62.54,4790459,$62.26,$62.65,$61.86
08/01/2024,$61.63,3085279,$61.35,$61.80,$60.91
07/31/2024,$61.40,2186036,$61.23,$61.625,$61.02
07/30/2024,$61.06,3581610,$60.71,$61.155,$60.47
07/29/2024,$60.92,3136400,$60.99,$61.07,$60.625
07/26/2024,$60.73,8462574,$60.46,$60.89,$60.21
07/25/2024,$59.08,5804826,$60.07,$60.26,$59.06
07/24/2024,$56.54,4375385,$56.42,$56.99,$56.40
07/23/2024,$57.27,2278851,$57.73,$57.82,$57.25
07/22/2024,$58.16,2709254,$58.33,$58.38,$57.77
07/19/2024,$58.03,3057972,$58.27,$58.56,$57.845
07/18/2024,$58.04,2182711,$58.55,$58.62,$57.99
07/17/2024,$58.20,2124652,$57.70,$58.21,$57.69
07/16/2024,$57.34,2036144,$57.15,$57.37,$56.98
07/15/2024,$56.96,2168402,$57.59,$57.62,$56.90
07/12/2024,$57.61,3254839,$57.21,$57.83,$57.17
07/11/2024,$56.63,2946572,$56.96,$57.04,$56.57
07/10/2024,$56.54,2721690,$56.22,$56.62,$56.20
07/09/2024,$55.55,3067376,$56.00,$56.01,$55.53
07/08/2024,$55.83,1590160,$55.85,$55.965,$55.685
07/05/2024,$55.49,1382754,$55.42,$55.57,$55.09
07/03/2024,$54.99,921672,$54.89,$55.055,$54.845
07/02/2024,$54.82,1673802,$54.50,$54.85,$54.405
07/01/2024,$54.70,2379714,$55.33,$55.70,$54.685
06/28/2024,$54.99,2487618,$54.91,$55.075,$54.6896
06/27/2024,$55.35,1362341,$55.70,$55.7899,$55.2608
06/26/2024,$55.68,1423153,$55.61,$55.875,$55.485
06/25/2024,$56.13,1621359,$56.31,$56.365,$55.96
06/24/2024,$56.30,1466589,$56.11,$56.36,$56.11
06/21/2024,$56.11,3175373,$56.07,$56.24,$55.805
06/20/2024,$56.15,2472192,$55.98,$56.245,$55.93
06/18/2024,$56.17,1859484,$56.26,$56.43,$56.12
06/17/2024,$56.38,1775607,$55.98,$56.4699,$55.925
06/14/2024,$56.22,3479671,$56.16,$56.38,$56.02
06/13/2024,$56.29,2723008,$56.12,$56.325,$56.01
06/12/2024,$56.06,3514718,$56.39,$56.455,$55.98
06/11/2024,$55.59,1848073,$55.21,$55.60,$55.06
06/10/2024,$55.59,1839494,$55.66,$55.69,$55.34
06/07/2024,$55.61,1903201,$56.02,$56.07,$55.58
06/06/2024,$56.04,1670507,$55.85,$56.185,$55.84
06/05/2024,$56.09,2574618,$56.10,$56.11,$55.80
06/04/2024,$55.78,3589353,$55.90,$55.92,$55.57
06/03/2024,$55.26,3352898,$54.86,$55.26,$54.80
05/31/2024,$54.75,2394173,$54.21,$54.78,$54.145
05/30/2024,$54.05,3210385,$54.08,$54.28,$54.015
05/29/2024,$53.53,2422296,$53.82,$53.88,$53.50
05/28/2024,$54.13,2190076,$54.42,$54.42,$54.03
05/24/2024,$54.56,3153122,$54.57,$54.92,$54.49
05/23/2024,$54.37,2296956,$54.98,$54.98,$54.295
05/22/2024,$54.21,1528067,$54.19,$54.405,$54.09
05/21/2024,$54.28,2336624,$54.32,$54.49,$54.205
05/20/2024,$54.13,1393892,$54.43,$54.50,$54.13
05/17/2024,$54.75,2610550,$54.63,$54.86,$54.49
05/16/2024,$54.07,3097794,$53.99,$54.20,$53.86
05/15/2024,$54.48,1893704,$54.18,$54.54,$54.115
05/14/2024,$54.04,1807747,$53.96,$54.1189,$53.805
05/13/2024,$53.93,2908480,$54.16,$54.275,$53.86
05/10/2024,$53.51,3061035,$53.485,$53.65,$53.385
05/09/2024,$53.42,4055281,$53.05,$53.43,$53.04
05/08/2024,$52.69,3191942,$52.84,$52.94,$52.56
05/07/2024,$52.66,3589300,$52.67,$52.91,$52.49
05/06/2024,$52.15,2388360,$52.20,$52.27,$51.90
05/03/2024,$52.13,4413133,$52.58,$52.64,$52.0725
05/02/2024,$52.02,2850950,$52.03,$52.21,$51.92
05/01/2024,$51.87,2909757,$51.61,$52.12,$51.45
04/30/2024,$51.85,3005636,$51.74,$51.96,$51.61
04/29/2024,$51.50,3344087,$51.58,$51.61,$51.34
04/26/2024,$51.24,4278463,$51.22,$51.53,$51.1519
04/25/2024,$50.92,6764456,$50.57,$51.12,$50.28
04/24/2024,$48.07,2963786,$48.19,$48.22,$47.865
04/23/2024,$47.98,2724430,$47.81,$48.185,$47.80
04/22/2024,$48.06,3092624,$47.63,$48.08,$47.5513
04/19/2024,$47.31,4973014,$47.23,$47.39,$47.015
04/18/2024,$46.85,5673206,$46.98,$47.14,$46.61
04/17/2024,$46.69,4907111,$46.93,$47.0473,$46.455
04/16/2024,$46.47,2911913,$46.64,$46.705,$46.47
04/15/2024,$46.71,2546846,$47.03,$47.13,$46.64
04/12/2024,$46.76,3179445,$47.39,$47.45,$46.75
04/11/2024,$47.65,2637846,$48.04,$48.09,$47.575
04/10/2024,$47.74,2926878,$48.13,$48.19,$47.66
04/09/2024,$48.40,2998151,$48.48,$48.57,$48.23
04/08/2024,$48.18,2446681,$48.25,$48.39,$48.155
04/05/2024,$48.44,2242539,$48.48,$48.50,$48.245
04/04/2024,$48.72,2085179,$49.14,$49.205,$48.65
04/03/2024,$48.90,2054956,$49.32,$49.34,$48.87
04/02/2024,$49.35,2660507,$49.47,$49.54,$49.295
04/01/2024,$49.85,1200970,$49.98,$50.12,$49.59
03/28/2024,$50.19,1290277,$49.99,$50.24,$49.95
03/27/2024,$50.14,2290516,$49.55,$50.14,$49.53
03/26/2024,$49.63,3464213,$50.11,$50.195,$49.63
03/25/2024,$49.64,3977565,$50.10,$50.21,$49.585
03/22/2024,$49.99,2356868,$49.96,$50.275,$49.92
03/21/2024,$49.46,2515404,$49.44,$49.585,$49.35
03/20/2024,$49.44,2073855,$49.45,$49.49,$49.105
03/19/2024,$49.86,4792097,$49.92,$50.04,$49.715
03/18/2024,$48.52,1934247,$48.63,$48.745,$48.42
03/15/2024,$48.94,2246154,$49.17,$49.25,$48.88
03/14/2024,$49.28,2770010,$49.79,$49.82,$49.18
03/13/2024,$49.76,2218176,$49.78,$49.945,$49.685
03/12/2024,$49.65,3501844,$49.49,$49.745,$49.41
03/11/2024,$49.36,2488268,$49.30,$49.43,$49.12
03/08/2024,$49.18,3754294,$49.17,$49.32,$49.06
03/07/2024,$48.98,2672396,$48.97,$49.06,$48.865
03/06/2024,$49.02,2378912,$49.13,$49.2499,$48.99
03/05/2024,$49.04,1429063,$49.15,$49.30,$49.00
03/04/2024,$49.14,1470904,$49.00,$49.17,$48.99
03/01/2024,$49.15,2345788,$48.93,$49.18,$48.66
02/29/2024,$48.97,1891631,$49.14,$49.16,$48.85
02/28/2024,$49.07,1697392,$48.97,$49.24,$48.93
02/27/2024,$49.61,2327069,$49.56,$49.755,$49.34
02/26/2024,$50.47,1692201,$50.74,$50.75,$50.432
02/23/2024,$50.66,1945344,$50.72,$50.8299,$50.595
02/22/2024,$50.72,2450238,$50.41,$50.755,$50.2106
02/21/2024,$51.22,2322155,$51.08,$51.24,$51.0301
02/20/2024,$51.04,2280476,$51.06,$51.425,$50.99
02/16/2024,$50.70,3484237,$50.55,$50.85,$50.375
02/15/2024,$50.09,2180504,$50.08,$50.32,$49.99
02/14/2024,$50.04,2177154,$50.29,$50.29,$49.7852
02/13/2024,$50.10,3113228,$50.51,$50.565,$49.975
02/12/2024,$50.59,2076567,$50.30,$50.61,$50.195
02/09/2024,$50.61,2783050,$50.57,$50.695,$50.325
02/08/2024,$50.68,4882057,$51.00,$51.245,$50.465
02/07/2024,$48.90,4365497,$49.40,$49.49,$48.85
02/06/2024,$49.87,3399228,$49.53,$49.925,$49.48
02/05/2024,$49.25,2672496,$49.10,$49.315,$48.9013
02/02/2024,$49.09,2672248,$49.12,$49.26,$48.78
02/01/2024,$49.51,2103547,$48.68,$49.51,$48.54
01/31/2024,$48.69,2205200,$49.30,$49.3688,$48.56
01/30/2024,$49.04,4020581,$49.05,$49.115,$48.81
01/29/2024,$48.76,2897859,$48.40,$48.78,$48.33
01/26/2024,$48.37,6184942,$48.49,$48.63,$48.315
01/25/2024,$47.62,5683232,$47.24,$47.64,$47.08
01/24/2024,$47.11,2504144,$47.60,$47.63,$47.11
01/23/2024,$47.47,2828295,$47.29,$47.575,$47.24
01/22/2024,$46.99,2629772,$47.08,$47.1851,$46.915
01/19/2024,$47.17,2215426,$47.07,$47.265,$46.78
01/18/2024,$47.18,2513178,$47.25,$47.315,$47.005
01/17/2024,$47.72,3368150,$47.66,$47.795,$47.505
01/16/2024,$48.19,2911657,$48.50,$48.53,$48.06
01/12/2024,$49.14,2450023,$49.37,$49.43,$49.06
01/11/2024,$48.79,2486301,$48.81,$48.875,$48.38
01/10/2024,$48.88,2607523,$49.00,$49.15,$48.84
01/09/2024,$49.20,1935648,$49.10,$49.23,$48.99
01/08/2024,$49.24,3230596,$48.68,$49.24,$48.68
01/05/2024,$48.76,2945081,$48.60,$48.97,$48.51
01/04/2024,$48.86,3001476,$48.58,$48.93,$48.56
01/03/2024,$48.64,2855493,$48.85,$48.94,$48.6015
01/02/2024,$48.49,2806554,$48.04,$48.52,$47.99
12/29/2023,$48.48,1719240,$48.38,$48.54,$48.335
12/28/2023,$48.48,1528205,$48.54,$48.68,$48.46
12/27/2023,$48.39,2093150,$48.17,$48.485,$48.13
12/26/2023,$48.13,1528494,$47.91,$48.155,$47.9099
12/22/2023,$48.10,1488100,$48.24,$48.3361,$47.96
12/21/2023,$47.84,2182523,$47.93,$47.99,$47.59
