date,TTM Net Income (Billions),Shareholder's Equity (Billion),Return on Equity(%),ticker
30/6/2024,18.72,160.26,11.52,AAPL
31/3/2024,20.3,161.66,12.51,AAPL
31/12/2023,21.37,161.93,13.19,AAPL
30/9/2023,25.46,166.25,15.76,AAPL
30/6/2023,30.17,159.3,18.87,AAPL
31/3/2023,35.78,160.43,22.54,AAPL
31/12/2022,35.47,160.24,22.82,AAPL
30/9/2022,34.17,159.63,22.73,AAPL
30/6/2022,29.05,154.56,20.09,AAPL
31/3/2022,20.51,147.1,14.71,AAPL
31/12/2021,15.63,139.94,11.5,AAPL
30/9/2021,9.91,136.72,7.39,AAPL
30/6/2021,3.59,133.91,2.7,AAPL
31/3/2021,-7.77,132.93,-5.84,AAPL
31/12/2020,-5.54,132.73,-4.08,AAPL
30/9/2020,-11.49,132.04,-8.26,AAPL
30/6/2020,-8.7,134.39,-5.99,AAPL
31/3/2020,3.87,144.91,2.56,AAPL
31/12/2019,2.92,145.21,1.9,AAPL
30/9/2019,13.26,156.89,8.47,AAPL
30/6/2019,14.73,157.45,9.44,AAPL
31/3/2019,13.84,156.12,8.93,AAPL
31/12/2018,14.82,155.64,9.64,AAPL
30/9/2018,14.21,154.67,9.33,AAPL
30/6/2018,12.11,153.38,8.04,AAPL
31/3/2018,10.15,151.57,6.81,AAPL
31/12/2017,9.2,149.32,6.21,AAPL
30/9/2017,6.5,147.91,4.41,AAPL
30/6/2017,5.83,147.39,3.95,AAPL
31/3/2017,2.91,147.79,1.97,AAPL
31/12/2016,-0.5,146.72,-0.33,AAPL
30/9/2016,-1.5,147.95,-1,AAPL
30/6/2016,-0.75,148.33,-0.49,AAPL
31/3/2016,1.3,151.48,0.84,AAPL
31/12/2015,4.59,153.89,2.95,AAPL
30/9/2015,8.65,155.94,5.53,AAPL
30/6/2015,12.2,155.89,7.79,AAPL
31/3/2015,17.3,157,11.07,AAPL
31/12/2014,19.24,156.19,12.41,AAPL
30/9/2014,20.7,157.31,13.48,AAPL
30/6/2014,20.06,154.75,13.3,AAPL
31/3/2014,19.76,151.81,13.34,AAPL
31/12/2013,21.42,150.43,14.72,AAPL
30/9/2013,23.74,146.07,16.67,AAPL
30/6/2013,24.04,144.16,17.24,AAPL
31/3/2013,25.89,141.49,19,AAPL
31/12/2012,26.18,137.83,19.77,AAPL
30/9/2012,24.06,134.22,18.72,AAPL
30/6/2012,26.63,131.29,21.24,AAPL
31/3/2012,27.16,126.33,22.32,AAPL
31/12/2011,26.9,122.18,22.83,AAPL
30/9/2011,27.07,121.68,23.81,AAPL
30/6/2011,23.01,116.43,21.1,AAPL
31/3/2011,20.68,110.85,19.7,AAPL
31/12/2010,19.02,105.81,18.78,AAPL
30/9/2010,16.8,102.97,17.15,AAPL
30/6/2010,16.86,100.29,17.74,AAPL
31/3/2010,13.2,96.05,14.33,AAPL
31/12/2009,10.48,92.56,11.65,AAPL
30/6/2024,18.72,160.26,11.52,CVX
31/3/2024,20.3,161.66,12.51,CVX
31/12/2023,21.37,161.93,13.19,CVX
30/9/2023,25.46,166.25,15.76,CVX
30/6/2023,30.17,159.3,18.87,CVX
31/3/2023,35.78,160.43,22.54,CVX
31/12/2022,35.47,160.24,22.82,CVX
30/9/2022,34.17,159.63,22.73,CVX
30/6/2022,29.05,154.56,20.09,CVX
31/3/2022,20.51,147.1,14.71,CVX
31/12/2021,15.63,139.94,11.5,CVX
30/9/2021,9.91,136.72,7.39,CVX
30/6/2021,3.59,133.91,2.7,CVX
31/3/2021,-7.77,132.93,-5.84,CVX
31/12/2020,-5.54,132.73,-4.08,CVX
30/9/2020,-11.49,132.04,-8.26,CVX
30/6/2020,-8.7,134.39,-5.99,CVX
31/3/2020,3.87,144.91,2.56,CVX
31/12/2019,2.92,145.21,1.9,CVX
30/9/2019,13.26,156.89,8.47,CVX
30/6/2019,14.73,157.45,9.44,CVX
31/3/2019,13.84,156.12,8.93,CVX
31/12/2018,14.82,155.64,9.64,CVX
30/9/2018,14.21,154.67,9.33,CVX
