ticker,date,Assets,NetIncomeLoss
AAPL,26/3/2011,94904000000,5987000000
AAPL,25/6/2011,1.07E+11,7308000000
AAPL,31/3/2012,1.51E+11,11622000000
AAPL,30/6/2012,1.63E+11,8824000000
AAPL,29/12/2012,1.96E+11,13078000000
AAPL,30/3/2013,1.95E+11,9547000000
AAPL,29/6/2013,2.00E+11,6900000000
AAPL,28/9/2013,2.07E+11,7512000000
AAPL,28/12/2013,2.25E+11,13072000000
AAPL,29/3/2014,2.06E+11,10223000000
AAPL,28/6/2014,2.23E+11,7748000000
AAPL,27/9/2014,2.32E+11,8467000000
AAPL,27/12/2014,2.62E+11,18024000000
AAPL,28/3/2015,2.61E+11,13569000000
AAPL,27/6/2015,2.73E+11,10677000000
AAPL,26/9/2015,2.90E+11,11124000000
AAPL,26/12/2015,2.93E+11,18361000000
AAPL,26/3/2016,3.05E+11,10516000000
AAPL,25/6/2016,3.06E+11,7796000000
AAPL,24/9/2016,3.22E+11,9014000000
AAPL,1/4/2017,3.35E+11,11029000000
AAPL,1/7/2017,3.45E+11,8717000000
AAPL,30/12/2017,4.07E+11,20065000000
AAPL,31/3/2018,3.68E+11,13822000000
AAPL,30/6/2018,3.49E+11,11519000000
AAPL,29/9/2018,3.66E+11,14125000000
AAPL,29/12/2018,3.74E+11,19965000000
CVS,31/3/2011,62828000000,713000000
CVS,30/6/2011,65487000000,816000000
CVS,31/3/2017,92670000000,952000000
CVS,30/6/2017,92525000000,1098000000
CVS,30/9/2017,92853000000,1285000000
CVS,31/12/2017,95131000000,3287000000
CVS,31/3/2018,1.35E+11,998000000
CVS,30/6/2018,1.33E+11,-2563000000
CVS,30/9/2018,1.32E+11,1390000000
CVS,31/12/2018,1.96E+11,-419000000
GS,31/3/2011,9.33E+11,2735000000
GS,30/6/2011,9.37E+11,1087000000
GS,30/9/2011,9.49E+11,-393000000
GS,31/12/2011,9.23E+11,1013000000
GS,31/3/2012,9.51E+11,2109000000
GS,30/6/2012,9.49E+11,962000000
GS,30/9/2012,9.49E+11,1512000000
GS,31/12/2012,9.39E+11,2892000000
GS,30/6/2013,9.38E+11,1931000000
GS,30/9/2013,9.23E+11,1517000000
GS,31/3/2014,9.16E+11,2033000000
GS,30/6/2014,8.60E+11,2037000000
GS,30/9/2014,8.69E+11,2241000000
GS,31/12/2014,8.56E+11,2166000000
GS,31/3/2015,8.65E+11,2844000000
GS,30/6/2015,8.60E+11,1048000000
GS,30/9/2015,8.81E+11,1426000000
GS,31/12/2015,8.61E+11,765000000
GS,31/3/2016,8.78E+11,1135000000
GS,30/6/2016,8.97E+11,1822000000
GS,30/9/2016,8.80E+11,2094000000
GS,31/12/2016,8.60E+11,2347000000
GS,31/3/2017,8.94E+11,2255000000
GS,30/6/2017,9.07E+11,1831000000
GS,30/9/2017,9.30E+11,2128000000
GS,31/12/2017,9.17E+11,-1928000000
GS,31/3/2018,9.74E+11,2832000000
GS,30/6/2018,9.69E+11,2565000000
GS,30/9/2018,9.57E+11,2524000000
GS,31/12/2018,9.32E+11,2538000000
GS,31/3/2019,9.25E+11,2251000000
JNJ,30/9/2012,1.19E+11,2968000000
JNJ,31/3/2013,1.22E+11,3497000000
JNJ,30/6/2013,1.24E+11,3833000000
JNJ,29/9/2013,1.27E+11,2982000000
JNJ,29/12/2013,1.33E+11,3519000000
JNJ,30/3/2014,1.33E+11,4727000000
JNJ,29/6/2014,1.35E+11,4326000000
JNJ,28/9/2014,1.32E+11,4749000000
JNJ,28/12/2014,1.31E+11,2521000000
JNJ,29/3/2015,1.29E+11,4320000000
JNJ,28/6/2015,1.32E+11,4516000000
JNJ,27/9/2015,1.33E+11,3358000000
JNJ,3/4/2016,1.36E+11,4292000000
JNJ,3/7/2016,1.40E+11,3997000000
JNJ,2/10/2016,1.40E+11,4272000000
JNJ,1/1/2017,1.41E+11,3979000000
JNJ,2/4/2017,1.45E+11,4422000000
JNJ,2/7/2017,1.53E+11,3827000000
JNJ,1/10/2017,1.56E+11,3764000000
JNJ,31/12/2017,1.57E+11,-10713000000
JNJ,1/4/2018,1.57E+11,4367000000
JNJ,1/7/2018,1.55E+11,3954000000
JNJ,30/9/2018,1.56E+11,3934000000
JNJ,30/12/2018,1.53E+11,3042000000
JNJ,31/3/2019,1.50E+11,3749000000
JPM,31/3/2011,2.20E+12,5555000000
JPM,30/6/2011,2.25E+12,5431000000
JPM,30/9/2011,2.29E+12,4262000000
JPM,31/12/2011,2.27E+12,3728000000
JPM,31/3/2012,2.32E+12,5383000000
JPM,30/6/2012,2.29E+12,4960000000
JPM,30/9/2012,2.32E+12,5708000000
JPM,31/12/2012,2.36E+12,5233000000
JPM,31/3/2013,2.39E+12,6529000000
JPM,30/6/2013,2.44E+12,6496000000
JPM,30/9/2013,2.46E+12,-380000000
JPM,31/12/2013,2.42E+12,5278000000
JPM,31/3/2014,2.48E+12,5274000000
JPM,30/6/2014,2.52E+12,5985000000
JPM,30/9/2014,2.53E+12,5572000000
JPM,31/12/2014,2.57E+12,4931000000
JPM,31/3/2015,2.58E+12,5914000000
JPM,30/6/2015,2.45E+12,6290000000
JPM,30/9/2015,2.42E+12,6804000000
JPM,31/12/2015,2.35E+12,5434000000
JPM,31/3/2016,2.42E+12,5520000000
JPM,30/6/2016,2.47E+12,6200000000
JPM,30/9/2016,2.52E+12,6286000000
JPM,31/12/2016,2.49E+12,6727000000
JPM,31/3/2017,2.55E+12,6448000000
JPM,30/6/2017,2.56E+12,7029000000
JPM,30/9/2017,2.56E+12,6732000000
JPM,31/12/2017,2.53E+12,4232000000
JPM,31/3/2018,2.61E+12,8712000000
JPM,30/6/2018,2.59E+12,8316000000
MSFT,31/3/2011,99727000000,5232000000
MSFT,30/9/2011,1.07E+11,5738000000
MSFT,31/3/2012,1.18E+11,5108000000
MSFT,30/9/2012,1.22E+11,4466000000
MSFT,31/12/2012,1.29E+11,6377000000
MSFT,31/3/2013,1.34E+11,6055000000
MSFT,30/6/2013,1.42E+11,4965000000
MSFT,30/9/2013,1.42E+11,5244000000
MSFT,31/12/2013,1.54E+11,6558000000
MSFT,31/3/2014,1.56E+11,5660000000
MSFT,30/6/2014,1.72E+11,4612000000
MSFT,30/9/2014,1.70E+11,4540000000
MSFT,31/12/2014,1.75E+11,5863000000
MSFT,31/3/2015,1.77E+11,4985000000
MSFT,30/6/2015,1.76E+11,-3195000000
MSFT,30/9/2015,1.73E+11,4620000000
MSFT,31/12/2015,1.80E+11,4998000000
MSFT,31/3/2016,1.82E+11,3756000000
MSFT,30/6/2016,1.94E+11,3424000000
MSFT,30/9/2016,2.13E+11,4690000000
MSFT,31/12/2016,2.25E+11,5200000000
MSFT,31/3/2017,2.25E+11,4801000000
MSFT,30/6/2017,2.41E+11,6513000000
MSFT,30/9/2017,2.49E+11,6576000000
MSFT,31/12/2017,2.56E+11,-6302000000
MSFT,31/3/2018,2.45E+11,7424000000
MSFT,30/6/2018,2.59E+11,8873000000
MSFT,30/9/2018,2.58E+11,8824000000
MSFT,31/12/2018,2.59E+11,8420000000
MSFT,31/3/2019,2.63E+11,8809000000
MSFT,30/6/2019,2.87E+11,13187000000
PFE,3/4/2011,1.95E+11,2222000000
PFE,3/7/2011,1.96E+11,2610000000
PFE,2/10/2011,1.96E+11,3738000000
PFE,31/12/2011,1.88E+11,1439000000
PFE,1/4/2012,1.86E+11,1794000000
PFE,1/7/2012,1.83E+11,3253000000
PFE,30/9/2012,1.83E+11,3208000000
PFE,31/12/2012,1.86E+11,6315000000
PFE,31/3/2013,1.87E+11,2750000000
PFE,30/6/2013,1.79E+11,14095000000
PFE,29/9/2013,1.76E+11,2590000000
PFE,31/12/2013,1.72E+11,2568000000
PFE,30/3/2014,1.72E+11,2329000000
PFE,29/6/2014,1.73E+11,2912000000
PFE,28/9/2014,1.71E+11,2666000000
PFE,29/3/2015,1.61E+11,2376000000
PFE,28/6/2015,1.61E+11,2626000000
PFE,27/9/2015,1.71E+11,2130000000
PG,31/3/2011,1.37E+11,2873000000
PG,30/9/2011,1.37E+11,3024000000
PG,31/12/2011,1.34E+11,1690000000
PG,31/3/2012,1.35E+11,2411000000
PG,30/6/2012,1.32E+11,3631000000
PG,30/9/2012,1.36E+11,2814000000
PG,31/12/2012,1.40E+11,4057000000
PG,31/3/2013,1.39E+11,2566000000
PG,30/6/2013,1.39E+11,1875000000
PG,30/9/2013,1.41E+11,3027000000
PG,31/12/2013,1.43E+11,3428000000
PG,31/3/2014,1.43E+11,2609000000
PG,30/6/2014,1.44E+11,2579000000
PG,30/9/2014,1.38E+11,1990000000
PG,31/12/2014,1.36E+11,2372000000
PG,31/3/2015,1.31E+11,2153000000
PG,30/6/2015,1.29E+11,521000000
PG,30/9/2015,1.29E+11,2601000000
PG,31/12/2015,1.29E+11,3206000000
PG,31/3/2016,1.28E+11,2750000000
PG,30/6/2016,1.27E+11,1951000000
PG,30/9/2016,1.29E+11,2714000000
PG,31/12/2016,1.17E+11,7875000000
PG,31/3/2017,1.18E+11,2522000000
PG,30/6/2017,1.20E+11,2215000000
PG,31/3/2019,1.22E+11,2745000000
XOM,31/3/2011,3.20E+11,10650000000
XOM,30/6/2011,3.26E+11,10680000000
XOM,30/9/2011,3.23E+11,10330000000
XOM,31/12/2011,3.31E+11,9400000000
XOM,31/3/2012,3.45E+11,9450000000
XOM,30/6/2012,3.30E+11,15910000000
XOM,31/3/2013,3.40E+11,9500000000
XOM,30/6/2013,3.42E+11,6860000000
XOM,30/9/2013,3.48E+11,7870000000
XOM,31/12/2013,3.47E+11,8350000000
XOM,31/3/2014,3.53E+11,9100000000
XOM,30/6/2014,3.59E+11,8780000000
XOM,30/9/2014,3.53E+11,8070000000
XOM,31/12/2014,3.49E+11,6570000000
XOM,31/3/2015,3.43E+11,4940000000
XOM,30/6/2015,3.48E+11,4190000000
XOM,30/9/2015,3.41E+11,4240000000
XOM,31/12/2015,3.37E+11,2780000000
XOM,31/3/2016,3.43E+11,1810000000
XOM,30/6/2016,3.42E+11,1700000000
XOM,30/9/2016,3.39E+11,2650000000
XOM,31/12/2016,3.30E+11,1680000000
XOM,31/3/2017,3.44E+11,4010000000
XOM,30/6/2017,3.43E+11,3350000000
XOM,30/9/2017,3.49E+11,3970000000
XOM,31/12/2017,3.49E+11,8380000000
XOM,31/3/2018,3.49E+11,4650000000
XOM,30/6/2018,3.49E+11,3950000000
XOM,30/9/2018,3.55E+11,6240000000
XOM,31/12/2018,3.46E+11,6000000000
XOM,31/3/2019,3.56E+11,2350000000
