TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative,Normalized Cumulative,Normalized Sharpe,Normalized Max Drawdown,Metric
60,3,20,5,0.02,678141.2,-0.43426335,1.130023668,6.781411875,265355.88,-0.229420558,2.007453312,2.65355875,1,1,0.567115525,0.855705175
30,4,20,20,0.02,640487.1,-0.434956962,1.026151185,6.40487125,246149.23,-0.199684449,1.870680851,2.461492344,0.907455206,0.9571179,0.6232234,0.829265502
60,4,5,10,0.02,668259.5,-0.280013506,1.212325939,6.682595,235229.5,-0.172160204,1.788428596,2.352295,0.854839833,0.931329453,0.675157797,0.820442361
90,3,20,20,0.02,445784.38,-0.490152477,0.9664803,4.45784375,221089.2,-0.187426939,1.732704012,2.210892031,0.786706582,0.913858194,0.646351605,0.78230546
30,4,10,10,0.02,926231.1,-0.334283011,1.346006916,9.26231125,221457.3,-0.191853045,1.617326049,2.214572969,0.788480196,0.877683884,0.638000162,0.768054747
30,3,5,10,0.02,452880.97,-0.284566901,0.942630833,4.528809688,215230.22,-0.187788409,1.645604799,2.152302188,0.758475799,0.886550086,0.645669562,0.763565149
90,4,10,10,0.01,645538.8,-0.276975348,1.233621994,6.455388125,212314.36,-0.205155982,1.72343553,2.123143594,0.744426096,0.910952258,0.612899382,0.756092578
30,5,10,20,0.02,482232.62,-0.385158895,0.976645176,4.82232625,214106.81,-0.174985218,1.510907296,2.141068125,0.753062807,0.844318545,0.669827391,0.755736247
30,3,20,10,0.01,848246.9,-0.280388008,1.300347059,8.48246875,208259.97,-0.184589663,1.596127845,2.082599688,0.724890522,0.871037638,0.651705147,0.749211102
60,5,20,10,0.01,1016243.1,-0.314272905,1.401065722,10.16243125,201273.97,-0.174041644,1.53499949,2.012739688,0.691229355,0.851872141,0.671607783,0.738236426
90,5,10,10,0.01,885051,-0.277629283,1.358643133,8.85051,193892.83,-0.175897663,1.596603293,1.938928281,0.655664253,0.871186704,0.668105735,0.731652231
90,4,10,10,0.02,893969.5,-0.385158923,1.28822013,8.939695,205073.9,-0.207183487,1.587934805,2.050739063,0.709538878,0.868468884,0.609073766,0.729027176
60,5,5,10,0.02,727799.2,-0.276909317,1.245027442,7.277991875,207641.03,-0.217786117,1.607191609,2.076410313,0.721908249,0.874506446,0.589068086,0.72849426
60,3,10,20,0.01,269170.97,-0.27366237,0.771892869,2.691709688,162365.16,-0.106049161,1.626794877,1.623651563,0.503752112,0.880652634,0.79990008,0.728101608
30,5,5,5,0.01,583278.6,-0.380697174,1.090982666,5.83278625,200632.03,-0.175052005,1.417315117,2.006320313,0.68813626,0.814974706,0.669701372,0.724270779
90,3,20,10,0.02,798945.94,-0.31429397,1.266421949,7.989459375,192756.28,-0.177624431,1.550191317,1.927562813,0.650187944,0.856635215,0.664847564,0.723890241
90,3,5,10,0.02,680562,-0.280393018,1.173331575,6.80562,191734.44,-0.174423174,1.542484904,1.917344375,0.645264318,0.854219033,0.67088789,0.72345708
30,5,5,10,0.02,1056407.9,-0.277845031,1.39401924,10.56407875,203736.69,-0.192668167,1.46517465,2.037366875,0.703095657,0.829980045,0.636462142,0.723179282
90,5,5,20,0.02,696785.9,-0.385158796,1.194990798,6.96785875,195789.42,-0.18065477,1.494925591,1.957894219,0.664802752,0.839307821,0.65912974,0.721080104
60,3,20,10,0.01,496011.62,-0.385068339,0.964218274,4.96011625,196728.95,-0.205779107,1.552330953,1.967289531,0.669329766,0.857306053,0.611723633,0.712786484
60,3,10,5,0.01,925974.9,-0.314272824,1.355066169,9.25974875,206128.36,-0.220848133,1.4974872,2.061283594,0.714619629,0.840110959,0.583290491,0.712673693
90,5,20,5,0.02,715679.3,-0.280393025,1.239699005,7.156793125,199785.38,-0.217283533,1.573389656,1.99785375,0.684056752,0.863908562,0.590016392,0.712660569
30,4,5,10,0.02,510342.28,-0.280393055,1.020077165,5.103422813,197520.73,-0.194287496,1.454010015,1.975207344,0.673144865,0.826479611,0.633406694,0.71101039
