date,symbol,ratingScore,ratingDetailsDCFScore,ratingDetailsROEScore,ratingDetailsROAScore,ratingDetailsPEScore,ratingDetailsPBScore
2024-10-04,AAPL,3,3,5,5,2,1
2024-10-03,AAPL,3,3,5,5,2,1
2024-10-02,AAPL,3,3,5,5,2,1
2024-10-01,AAPL,3,3,5,5,2,1
2024-09-30,AAPL,3,4,5,5,1,1
2024-09-27,AAPL,3,4,5,5,1,1
2024-09-26,AAPL,3,4,5,5,1,1
2024-09-25,AAPL,3,4,5,5,1,1
2024-09-24,AAPL,3,4,5,5,1,1
2024-09-23,AAPL,3,4,5,5,1,1
2024-09-20,AAPL,3,4,5,5,1,1
2024-09-19,AAPL,3,4,5,5,1,1
2024-09-18,AAPL,3,4,5,5,1,1
2024-09-17,AAPL,3,4,5,5,1,1
2024-09-16,AAPL,3,4,5,5,1,1
2024-09-13,AAPL,3,4,5,5,1,1
2024-09-12,AAPL,3,4,5,5,1,1
2024-09-11,AAPL,3,4,5,5,1,1
2024-09-10,AAPL,3,4,5,5,1,1
2024-09-09,AAPL,3,4,5,5,1,1
2024-09-06,AAPL,3,4,5,5,1,1
2024-09-05,AAPL,3,4,5,5,1,1
2024-09-04,AAPL,3,4,5,5,1,1
2024-09-03,AAPL,3,4,5,5,1,1
2024-08-30,AAPL,3,3,5,5,1,1
2024-08-29,AAPL,3,3,5,5,1,1
2024-08-28,AAPL,3,3,5,5,1,1
2024-08-27,AAPL,3,3,5,5,1,1
2024-08-26,AAPL,3,3,5,5,1,1
2024-08-23,AAPL,3,3,5,5,1,1
2024-08-22,AAPL,3,3,5,5,1,1
2024-08-21,AAPL,3,3,5,5,1,1
2024-08-20,AAPL,3,3,5,5,1,1
2024-08-19,AAPL,3,3,5,5,1,1
2024-08-16,AAPL,3,3,5,5,1,1
2024-08-15,AAPL,3,3,5,5,1,1
2024-08-14,AAPL,3,3,5,5,1,1
2024-08-13,AAPL,3,3,5,5,1,1
2024-08-12,AAPL,3,3,5,5,1,1
