symbol,date,rating,ratingScore,ratingRecommendation,ratingDetailsDCFScore,ratingDetailsDCFRecommendation,ratingDetailsROEScore,ratingDetailsROERecommendation,ratingDetailsROAScore,ratingDetailsROARecommendation,ratingDetailsDEScore,ratingDetailsDERecommendation,ratingDetailsPEScore,ratingDetailsPERecommendation,ratingDetailsPBScore,ratingDetailsPBRecommendation
UL,2024-09-20,B+,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy,1,Strong Sell,3,Neutral,1,Strong Sell
UL,2024-09-19,B+,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy,1,Strong Sell,3,Neutral,1,Strong Sell
UL,2024-09-18,B+,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy,1,Strong Sell,3,Neutral,1,Strong Sell
UL,2024-09-17,B+,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy,1,Strong Sell,3,Neutral,1,Strong Sell
UL,2024-09-16,B+,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy,1,Strong Sell,3,Neutral,1,Strong Sell
UL,2024-09-13,B+,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy,1,Strong Sell,3,Neutral,1,Strong Sell
UL,2024-09-12,B+,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy,1,Strong Sell,3,Neutral,1,Strong Sell
UL,2024-09-11,B+,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy,1,Strong Sell,3,Neutral,1,Strong Sell
UL,2024-09-10,B+,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy,1,Strong Sell,3,Neutral,1,Strong Sell
UL,2024-09-09,B+,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy,1,Strong Sell,3,Neutral,1,Strong Sell
UL,2024-09-06,B+,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy,1,Strong Sell,3,Neutral,1,Strong Sell
UL,2024-09-05,B+,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy,1,Strong Sell,3,Neutral,1,Strong Sell
UL,2024-09-04,B+,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy,1,Strong Sell,3,Neutral,1,Strong Sell
UL,2024-09-03,B+,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy,1,Strong Sell,3,Neutral,1,Strong Sell
