TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative,Normalized Cumulative,Normalized Sharpe,Normalized Max Drawdown,Metric
30,4,10,10,0.02,446359.8,-0.411895642,0.88362787,4.463598125,172013.05,-0.087966761,2.702813425,1.720130469,1,0.938690818,0.641833044,0.860174621
60,3,5,5,0.02,127596.67,-0.086727183,0.599019336,1.275966719,151798.12,-0.076338448,2.921819518,1.51798125,0.768906377,0.993436557,0.689179078,0.817174004
90,5,10,10,0.02,649585.5,-0.314272934,1.13303977,6.495855,141573.22,-0.076338404,2.948076062,1.415732188,0.652016951,1,0.689179257,0.780398736
30,5,10,10,0.02,305605.22,-0.342922108,0.739358733,3.056052188,163536.69,-0.112004785,2.491304487,1.635366875,0.90309967,0.88581917,0.543959418,0.777626086
30,5,10,20,0.02,244773.64,-0.352618669,0.781877866,2.447736406,131659.47,-0.044506378,2.610684836,1.316594688,0.53868461,0.915661104,0.818787075,0.75771093
30,5,5,10,0.02,244734.7,-0.352599233,0.781835026,2.447347031,131648.33,-0.044497089,2.610747606,1.316483281,0.538557253,0.915676795,0.818824898,0.757686315
30,4,10,5,0.02,244579.97,-0.352469488,0.781716686,2.445799688,131611.73,-0.044459145,2.610714357,1.316117344,0.538138919,0.915668484,0.818979393,0.757595598
30,4,5,20,0.01,244576.28,-0.352486229,0.781697901,2.445762813,131607.12,-0.044456966,2.610755263,1.31607125,0.538086225,0.915678709,0.818988264,0.757584399
30,5,20,5,0.02,242530.83,-0.349703773,0.781151556,2.425308281,131201.19,-0.043967101,2.610692611,1.312011875,0.533445615,0.915663048,0.820982807,0.756697157
30,3,5,5,0.02,241812.52,-0.348786696,0.780890322,2.418125156,131050.31,-0.043791403,2.610649511,1.310503125,0.531720837,0.915652274,0.821698182,0.756357098
30,4,10,5,0.01,239659.52,-0.345231221,0.78090035,2.396595156,130648,-0.043280461,2.610632985,1.30648,0.527121668,0.915648143,0.823778539,0.755516117
30,5,5,5,0.01,238027.11,-0.342859134,0.780553963,2.380271094,130320.05,-0.042882147,2.610585156,1.303200469,0.523372562,0.915636187,0.825400321,0.754803023
30,4,5,5,0.01,237329.19,-0.341832862,0.780415923,2.373291875,130180.22,-0.042711186,2.610639989,1.301802188,0.521774071,0.915649893,0.82609641,0.754506791
60,3,20,5,0.02,235270.02,-0.347408924,0.770422363,2.352700156,127219.48,-0.043574143,2.751947385,1.272194766,0.487927359,0.950973011,0.822582778,0.753827716
60,3,5,10,0.01,233937.62,-0.344775441,0.77072635,2.33937625,126995.29,-0.043235956,2.752095776,1.269952891,0.485364484,0.951010104,0.823959747,0.753444779
60,4,5,5,0.01,233685.08,-0.344385056,0.770677082,2.336850781,126950.086,-0.043172005,2.752094451,1.269500859,0.48484773,0.951009773,0.824220131,0.753359211
60,4,5,10,0.01,233676.6,-0.344367978,0.770682779,2.336765938,126948.125,-0.043169229,2.752087387,1.26948125,0.484825313,0.951008007,0.824231434,0.753354918
60,5,20,5,0.01,233295.69,-0.34378413,0.770598054,2.332956875,126879.875,-0.043073242,2.752060972,1.26879875,0.48404509,0.951001404,0.824622259,0.753222918
60,4,20,5,0.01,234053.81,-0.346580516,0.769191157,2.340538125,126381.31,-0.045059462,2.662526651,1.263813125,0.478345606,0.928620189,0.816535131,0.741166975
30,5,20,10,0.02,1000781.3,-0.280392867,1.396781457,10.00781313,154278.52,-0.108877067,2.255553627,1.542785156,0.79726179,0.826887681,0.556694288,0.72694792
90,5,10,20,0.02,238094.77,-0.352609084,0.777575673,2.380947656,122094.3,-0.044484786,2.638240366,1.220942969,0.429337157,0.922549259,0.81887499,0.723587135
90,3,5,10,0.01,237465.66,-0.351954464,0.777161891,2.374656563,121980.086,-0.04428077,2.638179223,1.219800859,0.428031517,0.922533975,0.819705664,0.723423719
90,5,10,5,0.02,235007.56,-0.348307336,0.776536088,2.350075625,121616.67,-0.043621259,2.637913978,1.216166719,0.423877028,0.922467671,0.822390943,0.72291188
90,4,5,5,0.02,234723.86,-0.347917678,0.776427238,2.347238594,121570.055,-0.043539431,2.637775732,1.215700547,0.423344108,0.922433113,0.822724115,0.722833778
90,4,5,5,0.01,233328.66,-0.345225555,0.776678175,2.333286563,121405.07,-0.043222638,2.637940049,1.214050703,0.421458034,0.922474188,0.824013973,0.722648732
90,3,5,5,0.01,233320.34,-0.345213268,0.776675309,2.333203438,121403.47,-0.043219787,2.637923691,1.214034688,0.421439725,0.922470098,0.824025581,0.722645135
90,4,5,10,0.01,231947.06,-0.343076574,0.776391047,2.319470625,121199.62,-0.042846118,2.637871514,1.211996172,0.419109328,0.922457055,0.82554702,0.722371134
90,5,10,5,0.01,231063.56,-0.341699912,0.7761955,2.310635625,121066.66,-0.042605959,2.637698469,1.210666563,0.417589341,0.922413799,0.826524853,0.722175997
90,3,20,5,0.01,230559.72,-0.340913388,0.776083788,2.305597188,120991.25,-0.042468074,2.637635209,1.2099125,0.416727309,0.922397985,0.827086267,0.722070521
90,5,5,10,0.01,225465.95,-0.339309228,0.754671149,2.254659531,120537.586,-0.042306314,2.586249069,1.205375859,0.411541097,0.909552808,0.827744894,0.7162796
60,5,20,20,0.02,320203.2,-0.307901384,0.789781711,3.202031875,140699.36,-0.086233715,2.270114629,1.406993594,0.642027136,0.830527547,0.648889344,0.707148009
30,4,10,10,0.01,954618.9,-0.316805267,1.328914145,9.54618875,149695.17,-0.108877197,2.091158325,1.496951719,0.744865767,0.785793197,0.556693755,0.69578424
30,5,20,20,0.02,944380.75,-0.280392991,1.374796949,9.4438075,140131.84,-0.076338491,1.961456805,1.401318438,0.635539391,0.753371243,0.689178905,0.692696513
30,4,20,10,0.02,661487.94,-0.385158901,1.113006712,6.614879375,149268,-0.112004649,2.063228081,1.49268,0.739982409,0.778811374,0.543959971,0.687584585
60,4,10,20,0.02,900257.8,-0.314274684,1.322339297,9.002578125,140773.72,-0.108877417,2.074836825,1.407737188,0.6428772,0.781713253,0.55669286,0.660427771
30,5,20,10,0.01,737274.3,-0.426574632,1.148841876,7.372743125,141258.62,-0.105068016,1.920759193,1.41258625,0.648420567,0.743197915,0.572203281,0.654607254
