Date,TTM Revenue(Billion),TTM EBITDA(Billion),EBITDA Margin,Company
30/6/2024,385.6,131.78,34.18,APPL
31/3/2024,381.62,129.63,33.97,APPL
31/12/2023,385.71,130.11,33.73,APPL
30/9/2023,383.29,125.82,32.83,APPL
30/6/2023,383.93,123.96,32.29,APPL
31/3/2023,385.1,123.79,32.14,APPL
31/12/2022,387.54,125.29,32.33,APPL
30/9/2022,394.33,130.54,33.1,APPL
30/6/2022,387.54,129.56,33.43,APPL
31/3/2022,386.02,130.63,33.84,APPL
31/12/2021,378.32,128.22,33.89,APPL
30/9/2021,365.82,120.23,32.87,APPL
30/6/2021,347.16,110.94,31.96,APPL
31/3/2021,325.41,99.82,30.68,APPL
31/12/2020,294.14,85.16,28.95,APPL
30/9/2020,274.52,77.34,28.17,APPL
30/6/2020,273.86,78.67,28.73,APPL
31/3/2020,267.98,77.31,28.85,APPL
31/12/2019,267.68,78.12,29.18,APPL
30/9/2019,260.17,76.48,29.39,APPL
30/6/2019,259.03,76.55,29.55,APPL
31/3/2019,258.49,77.35,29.92,APPL
31/12/2018,261.61,79.52,30.4,APPL
30/9/2018,265.6,81.8,30.8,APPL
30/6/2018,255.27,78.53,30.76,APPL
31/3/2018,247.42,76.38,30.87,APPL
31/12/2017,239.18,74.17,31.01,APPL
30/9/2017,229.23,71.5,31.19,APPL
30/6/2017,223.51,70.21,31.41,APPL
31/3/2017,220.46,69.72,31.62,APPL
31/12/2016,218.12,69.75,31.98,APPL
30/9/2016,215.64,70.53,32.71,APPL
30/6/2016,220.29,73.96,33.58,APPL
31/3/2016,227.54,78.5,34.5,APPL
31/12/2015,234.99,82.79,35.23,APPL
30/9/2015,233.72,82.49,35.29,APPL
30/6/2015,224.34,77.88,34.72,APPL
31/3/2015,212.16,72.94,34.38,APPL
31/12/2014,199.8,67.66,33.87,APPL
30/9/2014,182.8,60.45,33.07,APPL
30/6/2014,178.14,59.13,33.19,APPL
31/3/2014,176.04,57.8,32.83,APPL
31/12/2013,173.99,56.57,32.51,APPL
30/9/2013,170.91,55.76,32.62,APPL
30/6/2013,169.4,55.87,32.98,APPL
31/3/2013,169.1,57.38,33.93,APPL
31/12/2012,164.69,59.26,35.98,APPL
30/9/2012,156.51,58.52,37.39,APPL
30/6/2012,148.81,55.85,37.53,APPL
31/3/2012,142.36,53.3,37.44,APPL
31/12/2011,127.84,45.48,35.58,APPL
30/9/2011,108.25,35.6,32.89,APPL
30/6/2011,100.32,32.13,32.02,APPL
31/3/2011,87.45,26.77,30.62,APPL
31/12/2010,76.28,22.66,29.71,APPL
30/9/2010,65.23,19.41,29.76,APPL
30/6/2010,57.09,17.52,30.69,APPL
31/3/2010,51.12,15.83,30.96,APPL
31/12/2009,46.71,14.14,30.27,APPL
30/6/2024,201.16,46.03,22.88,CVX
31/3/2024,198.87,46.35,23.31,CVX
31/12/2023,200.95,47.38,23.58,CVX
30/9/2023,210.24,52.21,24.83,CVX
30/6/2023,222.81,58.47,26.24,CVX
31/3/2023,242.67,66.83,27.54,CVX
31/12/2022,246.25,66.51,27.01,CVX
30/9/2022,237.91,63.77,26.8,CVX
30/6/2022,215.97,57.16,26.47,CVX
31/3/2022,184.81,46.46,25.14,CVX
31/12/2021,162.47,40.28,24.79,CVX
30/9/2021,139.58,32.05,22.96,CVX
30/6/2021,119.32,23.66,19.82,CVX
31/3/2021,95.22,10.82,11.36,CVX
31/12/2020,94.69,12.75,13.47,CVX
30/9/2020,105.8,17.23,16.28,CVX
30/6/2020,117.46,21.7,18.47,CVX
31/3/2020,142.82,35.87,25.12,CVX
31/12/2019,146.52,35.55,24.26,CVX
30/9/2019,152.52,37.69,24.71,CVX
30/6/2019,160.39,40.34,25.15,CVX
31/3/2019,163.78,39.5,24.12,CVX
31/12/2018,166.34,40.74,24.49,CVX
30/9/2018,161.6,36.79,22.77,CVX
30/6/2018,153.82,33.33,21.67,CVX
31/3/2018,146.07,31.02,21.24,CVX
31/12/2017,141.72,28.88,20.38,CVX
30/9/2017,135.6,27.26,20.1,CVX
30/6/2017,129.54,24.76,19.12,CVX
31/3/2017,124.34,22.18,17.84,CVX
31/12/2016,114.47,17.5,15.29,CVX
30/9/2016,112.22,15.92,14.18,CVX
30/6/2016,116.4,17.66,15.18,CVX
31/3/2016,127.47,21.26,16.67,CVX
31/12/2015,138.48,25.88,18.69,CVX
30/9/2015,155.32,32.95,21.21,CVX
30/6/2015,175.68,38.71,22.03,CVX
31/3/2015,193.26,43.25,22.38,CVX
31/12/2014,211.97,48,22.64,CVX
30/9/2014,222.04,49.57,22.33,CVX
30/6/2014,225.86,49.25,21.81,CVX
31/3/2014,225.3,48.39,21.48,CVX
31/12/2013,228.85,50.09,21.89,CVX
30/9/2013,233.24,53.79,23.06,CVX
30/6/2013,232.78,54.6,23.45,CVX
31/3/2013,238.02,58.24,24.47,CVX
31/12/2012,241.91,59.75,24.7,CVX
30/9/2012,241.34,57.49,23.82,CVX
30/6/2012,247.73,60.75,24.52,CVX
