Date,Stock Price,Book Value per Share,Price to Book Ratio,Company
27/9/2024,227.79,,51.98,APPL
30/6/2024,210.38,4.38,48.01,APPL
31/3/2024,171.05,4.84,35.36,APPL
31/12/2023,191.8,4.79,40.02,APPL
30/9/2023,170.34,4,42.62,APPL
30/6/2023,192.73,3.85,50.03,APPL
31/3/2023,163.62,3.95,41.39,APPL
31/12/2022,128.72,3.58,35.95,APPL
30/9/2022,136.69,3.18,43.01,APPL
30/6/2022,135.04,3.61,37.4,APPL
31/3/2022,172.21,4.16,41.41,APPL
31/12/2021,174.91,4.4,39.73,APPL
30/9/2021,139.17,3.84,36.24,APPL
30/6/2021,134.51,3.88,34.65,APPL
31/3/2021,119.76,4.15,28.89,APPL
31/12/2020,129.9,3.94,33,APPL
30/9/2020,113.18,3.85,29.41,APPL
30/6/2020,88.96,4.22,21.09,APPL
31/3/2020,61.85,4.53,13.64,APPL
31/12/2019,71.25,5.1,13.96,APPL
30/9/2019,54.18,5.09,10.64,APPL
30/6/2019,47.7,5.32,8.96,APPL
31/3/2019,45.6,5.74,7.94,APPL
31/12/2018,37.71,6.23,6.05,APPL
30/9/2018,53.77,5.63,9.55,APPL
30/6/2018,43.94,5.93,7.4,APPL
31/3/2018,39.67,6.42,6.18,APPL
31/12/2017,39.85,6.9,5.78,APPL
30/9/2017,36.17,6.54,5.53,APPL
30/6/2017,33.66,6.4,5.26,APPL
31/3/2017,33.44,6.44,5.19,APPL
31/12/2016,26.84,6.3,4.26,APPL
30/9/2016,26.07,6.01,4.34,APPL
30/6/2016,21.92,5.87,3.74,APPL
31/3/2016,24.84,5.95,4.17,APPL
31/12/2015,23.86,5.78,4.13,APPL
30/9/2015,24.82,5.35,4.64,APPL
30/6/2015,28.19,5.51,5.12,APPL
31/3/2015,27.85,5.6,4.98,APPL
31/12/2014,24.61,5.29,4.65,APPL
30/9/2014,22.36,4.75,4.7,APPL
30/6/2014,20.53,5.05,4.07,APPL
31/3/2014,16.84,4.98,3.38,APPL
31/12/2013,17.5,5.19,3.37,APPL
30/9/2013,14.78,4.91,3.01,APPL
30/6/2013,12.22,4.85,2.52,APPL
31/3/2013,13.55,5.15,2.63,APPL
31/12/2012,16.19,4.84,3.34,APPL
30/9/2012,20.2,4.5,4.49,APPL
30/6/2012,17.61,4.26,4.14,APPL
31/3/2012,18.08,3.92,4.62,APPL
31/12/2011,12.21,3.45,3.54,APPL
30/9/2011,11.5,2.94,3.91,APPL
30/6/2011,10.12,2.67,3.79,APPL
31/3/2011,10.51,2.37,4.43,APPL
31/12/2010,9.73,2.12,4.59,APPL
30/9/2010,8.56,1.86,4.59,APPL
30/6/2010,7.59,1.69,4.5,APPL
31/3/2010,7.09,1.54,4.59,APPL
31/12/2009,6.36,1.41,4.51,APPL
30/9/2009,5.59,1.26,4.45,APPL
30/6/2009,4.3,1.03,4.16,APPL
31/3/2009,3.17,0.97,3.26,APPL
27/9/2024,145.49,,1.66,CVX
30/6/2024,154.7,87.63,1.77,CVX
31/3/2024,154.45,87.52,1.76,CVX
31/12/2023,144.52,86.8,1.67,CVX
30/9/2023,161.65,88.07,1.84,CVX
30/6/2023,149.44,85.31,1.75,CVX
31/12/2022,167.31,83.67,2,CVX
30/9/2022,132.9,82.55,1.61,CVX
30/6/2022,132.74,78.96,1.68,CVX
31/3/2022,148.04,74.87,1.98,CVX
31/12/2021,105.57,72.52,1.46,CVX
31/3/2023,153.45,84.7,1.81,CVX
30/9/2021,90.22,70.93,1.27,CVX
30/6/2021,91.87,69.24,1.33,CVX
31/3/2021,90.77,68.95,1.32,CVX
31/12/2020,72.15,68.94,1.05,CVX
30/9/2020,60.62,70.71,0.86,CVX
30/6/2020,74.03,71.97,1.03,CVX
31/3/2020,59.29,77.62,0.76,CVX
31/12/2019,97.47,77.15,1.26,CVX
30/9/2019,94.99,82.97,1.14,CVX
30/6/2019,98.65,82.94,1.19,CVX
31/3/2019,96.7,81.96,1.18,CVX
31/12/2018,84.55,81.79,1.03,CVX
30/9/2018,94.14,80.95,1.16,CVX
30/6/2018,96.41,80.05,1.2,CVX
31/3/2018,86.22,79.31,1.09,CVX
31/12/2017,93.72,78.39,1.2,CVX
30/9/2017,87.14,77.87,1.12,CVX
30/6/2017,76.6,77.78,0.98,CVX
31/3/2017,78.02,78.01,1,CVX
31/12/2016,84.72,77.57,1.09,CVX
30/9/2016,73.35,78.37,0.94,CVX
30/6/2016,73.93,78.62,0.94,CVX
31/3/2016,66.58,80.37,0.83,CVX
31/12/2015,62,81.73,0.76,CVX
30/9/2015,53.73,82.86,0.65,CVX
30/6/2015,64.88,82.84,0.78,CVX
31/3/2015,69.91,83.49,0.84,CVX
31/12/2014,73.99,83.1,0.89,CVX
30/9/2014,77.99,83.21,0.94,CVX
30/6/2014,84.61,81.49,1.04,CVX
31/3/2014,76.4,79.75,0.96,CVX
31/12/2013,79.55,78.61,1.01,CVX
30/9/2013,76.73,75.95,1.01,CVX
30/6/2013,74.12,74.62,0.99,CVX
31/3/2013,73.82,72.97,1.01,CVX
31/12/2012,66.67,70.8,0.94,CVX
30/9/2012,71.23,68.58,1.04,CVX
30/6/2012,63.96,66.91,0.96,CVX
31/3/2012,64.42,64.02,1.01,CVX
31/12/2011,63.44,61.67,1.03,CVX
30/9/2011,54.77,61.1,0.9,CVX
30/6/2011,60.35,58.13,1.04,CVX
31/3/2011,62.6,55.14,1.14,CVX
31/12/2010,52.75,52.71,1,CVX
30/9/2010,46.44,51.16,0.91,CVX
30/6/2010,38.53,49.88,0.77,CVX
31/3/2010,42.66,47.82,0.89,CVX
31/12/2009,42.9,46.1,0.93,CVX
30/9/2009,38.91,45.47,0.86,CVX
30/6/2009,36.23,44.12,0.82,CVX
31/3/2009,36.41,43.81,0.83,CVX
27/9/2024,498.51,,1.32,GS
30/6/2024,449.68,377.85,1.19,GS
31/3/2024,415.25,365.87,1.13,GS
31/12/2023,380.85,361.51,1.05,GS
30/9/2023,316.88,359.08,0.88,GS
