Date,Company,Stock Price,Net EPS,PE Ratio
27/9/2024,APPL,227.79,34.67,NA
30/6/2024,APPL,210.38,6.57,32.02
31/3/2024,APPL,171.05,6.43,26.6
31/12/2023,APPL,191.8,6.42,29.88
30/9/2023,APPL,170.34,6.12,27.83
30/6/2023,APPL,192.73,5.95,32.39
31/3/2023,APPL,163.62,5.89,27.78
31/12/2022,APPL,128.72,5.89,21.85
30/9/2022,APPL,136.69,6.11,22.37
30/6/2022,APPL,135.04,6.06,22.28
31/3/2022,APPL,172.21,6.16,27.96
31/12/2021,APPL,174.91,6.04,28.96
30/9/2021,APPL,139.17,5.62,24.76
30/6/2021,APPL,134.51,5.11,26.32
31/3/2021,APPL,119.76,4.46,26.88
31/12/2020,APPL,129.9,3.69,35.18
30/9/2020,APPL,113.18,3.26,34.72
30/6/2020,APPL,88.96,3.29,27.06
31/3/2020,APPL,61.85,3.19,19.4
31/12/2019,APPL,71.25,3.17,22.51
30/9/2019,APPL,54.18,2.96,18.29
30/6/2019,APPL,47.7,2.93,16.27
31/3/2019,APPL,45.6,2.97,15.34
31/12/2018,APPL,37.71,3.04,12.4
30/9/2018,APPL,53.77,2.97,18.12
30/6/2018,APPL,43.94,2.76,15.93
31/3/2018,APPL,39.67,2.59,15.32
31/12/2017,APPL,39.85,2.43,16.38
30/9/2017,APPL,36.17,2.3,15.72
30/6/2017,APPL,33.66,2.2,15.3
31/3/2017,APPL,33.44,2.14,15.64
31/12/2016,APPL,26.84,2.09,12.86
30/9/2016,APPL,26.07,2.07,12.61
30/6/2016,APPL,21.92,2.14,10.24
31/3/2016,APPL,24.84,2.25,11.05
31/12/2015,APPL,23.86,2.36,10.13
30/9/2015,APPL,24.82,2.3,10.79
30/6/2015,APPL,28.19,2.17,13.02
31/3/2015,APPL,27.85,2.02,13.77
31/12/2014,APPL,24.61,1.86,13.27
30/9/2014,APPL,22.36,1.61,13.91
30/6/2014,APPL,20.53,1.55,13.26
31/3/2014,APPL,16.84,1.49,11.27
31/12/2013,APPL,17.5,1.44,12.15
30/9/2013,APPL,14.78,1.42,10.45
30/6/2013,APPL,12.22,1.43,8.54
31/3/2013,APPL,13.55,1.5,9.05
31/12/2012,APPL,16.19,1.58,10.28
30/9/2012,APPL,20.2,1.58,12.81
30/6/2012,APPL,17.61,1.52,11.59
31/3/2012,APPL,18.08,1.46,12.34
31/12/2011,APPL,12.21,1.25,9.74
30/9/2011,APPL,11.5,0.99,11.64
30/6/2011,APPL,10.12,0.9,11.22
31/3/2011,APPL,10.51,0.75,14.03
31/12/2010,APPL,9.73,0.64,15.21
30/9/2010,APPL,8.56,0.54,15.81
30/6/2010,APPL,7.59,0.44,17.22
31/3/2010,APPL,7.09,0.36,19.51
31/12/2009,APPL,6.36,0.31,20.55
27/9/2024,CVX,145.49,,14.4
30/6/2024,CVX,154.7,10.1,15.32
31/3/2024,CVX,154.45,10.87,14.21
31/12/2023,CVX,144.52,11.23,12.87
30/9/2023,CVX,161.65,15.79,10.24
30/6/2023,CVX,149.44,18.26,8.18
31/12/2022,CVX,167.31,18.28,9.15
30/9/2022,CVX,132.9,17.58,7.56
30/6/2022,CVX,132.74,15.26,8.7
31/3/2022,CVX,148.04,12.5,11.84
31/12/2021,CVX,105.57,10.88,9.7
31/3/2023,CVX,153.45,8.97,17.11
30/9/2021,CVX,90.22,5.18,17.42
30/6/2021,CVX,91.87,1.87,49.13
31/3/2021,CVX,90.77,-4.17,0
31/12/2020,CVX,72.15,-2.96,0
30/9/2020,CVX,60.62,-6.14,0
30/6/2020,CVX,74.03,-4.66,0
31/3/2020,CVX,59.29,2.05,28.92
31/12/2019,CVX,97.47,1.51,64.55
30/9/2019,CVX,94.99,6.97,13.63
30/6/2019,CVX,98.65,7.72,12.78
31/3/2019,CVX,96.7,7.23,13.37
31/12/2018,CVX,84.55,7.74,10.92
30/9/2018,CVX,94.14,7.43,12.67
30/6/2018,CVX,96.41,6.35,15.18
31/3/2018,CVX,86.22,5.34,16.15
31/12/2017,CVX,93.72,4.85,19.32
30/9/2017,CVX,87.14,3.43,25.4
30/6/2017,CVX,76.6,3.08,24.87
31/3/2017,CVX,78.02,1.53,51
31/12/2016,CVX,84.72,-0.27,0
30/9/2016,CVX,73.35,-0.8,0
30/6/2016,CVX,73.93,-0.39,0
31/3/2016,CVX,66.58,0.69,96.49
31/12/2015,CVX,62,2.45,25.31
30/9/2015,CVX,53.73,4.61,11.66
30/6/2015,CVX,64.88,6.47,10.03
31/3/2015,CVX,69.91,9.15,7.64
31/12/2014,CVX,73.99,10.14,7.3
30/9/2014,CVX,77.99,10.86,7.18
30/6/2014,CVX,84.61,10.48,8.07
31/3/2014,CVX,76.4,10.27,7.44
31/12/2013,CVX,79.55,11.09,7.17
30/9/2013,CVX,76.73,12.22,6.28
30/6/2013,CVX,74.12,12.34,6.01
31/3/2013,CVX,73.82,13.23,5.58
31/12/2012,CVX,66.67,13.32,5.01
30/9/2012,CVX,71.23,12.2,5.84
30/6/2012,CVX,63.96,13.43,4.76
31/3/2012,CVX,64.42,13.62,4.73
31/12/2011,CVX,63.44,13.44,4.72
30/9/2011,CVX,54.77,13.5,4.06
30/6/2011,CVX,60.35,11.45,5.27
31/3/2011,CVX,62.6,10.3,6.08
31/12/2010,CVX,52.75,9.48,5.56
30/9/2010,CVX,46.44,8.37,5.55
30/6/2010,CVX,38.53,8.42,4.58
31/3/2010,CVX,42.66,6.59,6.47
31/12/2009,CVX,42.9,5.24,8.19
27/9/2024,GS,498.51,,16
30/6/2024,GS,449.68,31.15,14.44
31/3/2024,GS,415.25,25.61,16.21
31/12/2023,GS,380.85,17.35,21.95
30/9/2023,GS,316.88,20.12,15.75
30/6/2023,GS,313.25,22.38,14
31/12/2022,GS,328.57,30.06,10.93
30/9/2022,GS,278.6,37.55,7.42
30/6/2022,GS,280.27,38.09,7.36
31/3/2022,GS,309.59,45.29,6.84
31/12/2021,GS,356.61,49.55,7.2
31/3/2023,GS,315.26,57.34,5.5
30/9/2021,GS,350.53,60.63,5.78
30/6/2021,GS,350.23,55.38,6.32
31/3/2021,GS,300.75,46.62,6.45
31/12/2020,GS,241.62,31.13,7.76
30/9/2020,GS,183.15,23.74,7.71
30/6/2020,GS,179.01,18.85,9.5
31/3/2020,GS,139.14,18.4,7.56
31/12/2019,GS,205.68,21,9.79
30/9/2019,GS,184.33,22.35,8.25
30/6/2019,GS,180.88,23.84,7.59
31/3/2019,GS,168.97,24.01,7.04
31/12/2018,GS,146.43,25.25,5.8
30/9/2018,GS,196.56,13.7,14.35
30/6/2018,GS,192.7,12.44,15.49
31/3/2018,GS,219.27,10.41,21.06
31/12/2017,GS,221.16,8.61,25.69
30/9/2017,GS,205.27,19.2,10.69
30/6/2017,GS,191.39,19.06,10.04
31/3/2017,GS,197.45,18.83,10.49
31/12/2016,GS,205.28,14.95,13.73
30/9/2016,GS,137.83,12.77,10.79
30/6/2016,GS,126.5,9.87,12.82
31/12/2015,GS,152.17,12.09,12.59
30/9/2015,GS,146.2,15.2,9.62
30/6/2015,GS,175.07,14.98,11.69
31/3/2015,GS,157.12,17.57,8.94
31/12/2014,GS,161.52,15.73,10.27
31/3/2016,GS,133.11,15.37,8.66
30/9/2014,GS,152.48,17.29,8.82
30/6/2014,GS,138.66,15.6,8.89
31/3/2014,GS,135.22,15.2,8.9
31/12/2013,GS,145.8,15.47,9.42
30/9/2013,GS,129.7,16.47,7.88
30/6/2013,GS,123.59,16.44,7.52
31/3/2013,GS,119.87,14.52,8.26
31/12/2012,GS,103.56,14.15,7.32
30/9/2012,GS,91.91,10.39,8.85
30/6/2012,GS,77.16,6.7,11.52
31/3/2012,GS,99.64,6.77,14.72
31/12/2011,GS,72.24,4.41,16.38
30/9/2011,GS,75.23,6.36,11.83
30/6/2011,GS,105.57,10.18,10.37
31/3/2011,GS,125.49,9.11,13.78
31/12/2010,GS,132.77,13.14,10.1
30/9/2010,GS,113.9,17.55,6.49
30/6/2010,GS,103.15,19.82,5.2
31/3/2010,GS,133.76,23.97,5.58
31/12/2009,GS,132.06,21.77,6.07
27/9/2024,JNJ,161.4,,10.08
30/6/2024,JNJ,145.06,16.01,9.06
31/3/2024,JNJ,155.72,16.04,9.71
31/12/2023,JNJ,153.13,13.81,11.09
30/9/2023,JNJ,150.96,13.47,11.21
30/6/2023,JNJ,159.29,4.94,32.25
31/3/2023,JNJ,148.04,4.78,30.97
31/12/2022,JNJ,167.54,6.74,24.86
30/9/2022,JNJ,153.95,7.18,21.44
30/6/2022,JNJ,166.16,6.87,24.19
31/3/2022,JNJ,164.86,7.42,22.22
31/12/2021,JNJ,158.11,7.81,20.24
30/9/2021,JNJ,148.28,6.69,22.16
30/6/2021,JNJ,150.36,6.65,22.61
31/3/2021,JNJ,149.07,5.66,26.34
31/12/2020,JNJ,141.87,5.51,25.75
30/9/2020,JNJ,133.27,6.36,20.95
30/6/2020,JNJ,125.05,6.84,18.28
31/3/2020,JNJ,115.8,7.56,15.32
31/12/2019,JNJ,127.98,6.78,18.88
30/9/2019,JNJ,112.73,6.4,17.61
30/6/2019,JNJ,121.36,6.03,20.13
31/3/2019,JNJ,120.97,5.4,22.4
31/12/2018,JNJ,110.95,5.61,19.78
30/9/2018,JNJ,118.03,0.5,236.07
30/6/2018,JNJ,102.97,0.43,239.47
