Date,Stock Price,TTM Sales per Share,Price to Sales Ratio,Company
27/9/2024,227.79,,9.19,APPL
30/6/2024,210.38,24.79,8.49,APPL
31/3/2024,171.05,24.39,7.01,APPL
31/12/2023,191.8,24.51,7.83,APPL
30/9/2023,170.34,24.17,7.05,APPL
30/6/2023,192.73,24.03,8.02,APPL
31/3/2023,163.62,23.95,6.83,APPL
31/12/2022,128.72,23.9,5.39,APPL
30/9/2022,136.69,24.06,5.68,APPL
30/6/2022,135.04,23.48,5.75,APPL
31/3/2022,172.21,23.23,7.41,APPL
31/12/2021,174.91,22.59,7.74,APPL
30/9/2021,139.17,21.6,6.44,APPL
30/6/2021,134.51,20.35,6.61,APPL
31/3/2021,119.76,18.92,6.33,APPL
31/12/2020,129.9,16.94,7.67,APPL
30/9/2020,113.18,15.58,7.26,APPL
30/6/2020,88.96,15.33,5.8,APPL
31/3/2020,61.85,14.83,4.17,APPL
31/12/2019,71.25,14.61,4.88,APPL
30/9/2019,54.18,13.87,3.91,APPL
30/6/2019,47.7,13.57,3.52,APPL
31/3/2019,45.6,13.35,3.42,APPL
31/12/2018,37.71,13.28,2.84,APPL
30/9/2018,53.77,13.14,4.09,APPL
30/6/2018,43.94,12.5,3.51,APPL
31/3/2018,39.67,11.97,3.32,APPL
31/12/2017,39.85,11.46,3.48,APPL
30/9/2017,36.17,10.86,3.33,APPL
30/6/2017,33.66,10.49,3.21,APPL
31/3/2017,33.44,10.25,3.26,APPL
31/12/2016,26.84,10.02,2.68,APPL
30/9/2016,26.07,9.74,2.68,APPL
30/6/2016,21.92,9.83,2.23,APPL
31/3/2016,24.84,10.04,2.47,APPL
31/12/2015,23.86,10.25,2.33,APPL
30/9/2015,24.82,10.03,2.48,APPL
30/6/2015,28.19,9.52,2.96,APPL
31/3/2015,27.85,8.92,3.12,APPL
31/12/2014,24.61,8.29,2.97,APPL
30/9/2014,22.36,7.4,3.02,APPL
30/6/2014,20.53,7.12,2.88,APPL
31/3/2014,16.84,6.94,2.43,APPL
31/12/2013,17.5,6.73,2.6,APPL
30/9/2013,14.78,6.5,2.27,APPL
30/6/2013,12.22,6.43,1.9,APPL
31/3/2013,13.55,6.38,2.12,APPL
31/12/2012,16.19,6.22,2.61,APPL
