company,date,Assets,NetIncomeLoss,Revenues
AAPL,2011-03-26,94904000000.0,5987000000.0,No Data
AAPL,2011-06-25,106758000000.0,7308000000.0,No Data
AAPL,2012-03-31,150934000000.0,11622000000.0,No Data
AAPL,2012-06-30,162896000000.0,8824000000.0,No Data
AAPL,2012-12-29,196088000000.0,13078000000.0,No Data
AAPL,2013-03-30,194743000000.0,9547000000.0,No Data
AAPL,2013-06-29,199856000000.0,6900000000.0,No Data
AAPL,2013-09-28,207000000000.0,7512000000.0,No Data
AAPL,2013-12-28,225184000000.0,13072000000.0,No Data
AAPL,2014-03-29,205989000000.0,10223000000.0,No Data
AAPL,2014-06-28,222520000000.0,7748000000.0,No Data
AAPL,2014-09-27,231839000000.0,8467000000.0,No Data
AAPL,2014-12-27,261894000000.0,18024000000.0,No Data
AAPL,2015-03-28,261194000000.0,13569000000.0,No Data
AAPL,2015-06-27,273151000000.0,10677000000.0,No Data
AAPL,2015-09-26,290479000000.0,11124000000.0,No Data
AAPL,2015-12-26,293284000000.0,18361000000.0,No Data
AAPL,2016-03-26,305277000000.0,10516000000.0,No Data
AAPL,2016-06-25,305602000000.0,7796000000.0,No Data
AAPL,2016-09-24,321686000000.0,9014000000.0,No Data
AAPL,2017-04-01,334532000000.0,11029000000.0,No Data
AAPL,2017-07-01,345173000000.0,8717000000.0,No Data
AAPL,2017-12-30,406794000000.0,20065000000.0,No Data
AAPL,2018-03-31,367502000000.0,13822000000.0,No Data
AAPL,2018-06-30,349197000000.0,11519000000.0,No Data
AAPL,2018-09-29,365725000000.0,14125000000.0,No Data
AAPL,2018-12-29,373719000000.0,19965000000.0,No Data
CVS,2011-03-31,62828000000.0,713000000.0,25880000000.0
CVS,2011-06-30,65487000000.0,816000000.0,26629000000.0
CVS,2011-09-30,65251000000.0,No Data,26674000000.0
CVS,2011-12-31,64543000000.0,No Data,27917000000.0
CVS,2012-03-31,66006000000.0,No Data,30798000000.0
CVS,2012-06-30,65589000000.0,No Data,30714000000.0
CVS,2012-09-30,64796000000.0,No Data,30227000000.0
CVS,2012-12-31,65912000000.0,No Data,31394000000.0
CVS,2013-03-31,66068000000.0,No Data,30763000000.0
CVS,2013-06-30,66284000000.0,No Data,31248000000.0
CVS,2013-09-30,67805000000.0,No Data,31968000000.0
CVS,2013-12-31,71526000000.0,No Data,32782000000.0
CVS,2014-03-31,72822000000.0,No Data,32689000000.0
CVS,2014-06-30,72593000000.0,No Data,34602000000.0
CVS,2014-09-30,73576000000.0,No Data,35021000000.0
CVS,2014-12-31,74252000000.0,No Data,37055000000.0
CVS,2015-03-31,73930000000.0,No Data,36332000000.0
CVS,2015-06-30,74668000000.0,No Data,37169000000.0
CVS,2015-09-30,92362000000.0,No Data,38644000000.0
