date,expenses
2014-01-01,"112,036"
2014-04-01,"120,636"
2014-07-01,"119,828"
2014-10-01,"122,058"
2015-01-01,"115,066"
2015-04-01,"126,650"
2015-07-01,"125,740"
2015-10-01,"136,221"
2016-01-01,"128,305"
2016-04-01,"138,121"
2016-07-01,"136,252"
2016-10-01,"145,916"
2017-01-01,"137,430"
2017-04-01,"144,112"
2017-07-01,"142,063"
2017-10-01,"152,292"
2018-01-01,"142,638"
2018-04-01,"144,551"
2018-07-01,"139,748"
2018-10-01,"150,661"
2019-01-01,"143,689"
2019-04-01,"154,647"
2019-07-01,"153,448"
2019-10-01,"166,988"
2020-01-01,"155,855"
2020-04-01,"155,035"
2020-07-01,"160,665"
2020-10-01,"174,151"
2021-01-01,"172,537"
2021-04-01,"181,872"
2021-07-01,"182,235"
2021-10-01,"195,720"
2022-01-01,"196,406"
2022-04-01,"204,958"
2022-07-01,"211,840"
2022-10-01,"229,012"
2023-01-01,"224,938"
2023-04-01,"228,031"
2023-07-01,"221,488"
2023-10-01,"223,258"
2024-01-01,"212,615"
2024-04-01,"214,485"
2024-07-01,NA
2024-10-01,NA
