TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative,Normalized Cumulative,Normalized Sharpe,Normalized Max Drawdown,Metric
90,5,10,20,0.02,449115.28,-0.173684625,1.218573978,4.491152813,266091.1,-0.205086654,2.192949111,2.660910938,1,1,0.697713268,0.899237756
90,5,20,20,0.02,462201.47,-0.385158655,0.966866402,4.622014688,261649.5,-0.205086546,2.047269548,2.616495,0.980742314,0.965117097,0.697713427,0.881190946
90,3,5,10,0.01,1098878.6,-0.258165123,1.397508927,10.98878625,242962.23,-0.205086718,2.068938082,2.429622344,0.899718807,0.970305618,0.697713174,0.855912533
90,3,10,5,0.01,746823.9,-0.314101113,1.264730095,7.46823875,231966.6,-0.174413647,1.93811983,2.319665938,0.852044344,0.938981249,0.742923635,0.844649743
60,5,10,10,0.02,513540.8,-0.411896101,0.955153846,5.135408125,234008.42,-0.174989674,1.797322851,2.340084219,0.860897222,0.905267478,0.742074603,0.836079768
60,3,20,5,0.02,472492.06,-0.38515889,0.942071545,4.724920625,224418.75,-0.174989516,1.747285701,2.2441875,0.819318702,0.893286106,0.742074836,0.818226548
90,5,5,20,0.01,658413.9,-0.385159007,1.134870069,6.58413875,225613.77,-0.202354948,1.819413316,2.256137656,0.824500003,0.91055703,0.701739656,0.812265563
60,5,10,5,0.02,524080.78,-0.327339213,1.023114805,5.240807813,216058.23,-0.17498961,1.74056791,2.160582344,0.783069509,0.891677535,0.742074697,0.805607247
90,5,20,20,0.01,549722.06,-0.280391881,1.113830109,5.497220625,213941.83,-0.187572129,1.731354958,2.139418281,0.773893279,0.889471498,0.723528739,0.795631172
30,3,20,10,0.01,489913.12,-0.332384164,1.123433662,4.89913125,162295.22,-0.071248656,1.903618379,1.622952188,0.549965955,0.930719893,0.894983301,0.791889716
90,4,10,5,0.01,975957.4,-0.296244793,1.404742158,9.75957375,218309.78,-0.211277043,1.743585917,2.183097813,0.792831677,0.892400195,0.688588966,0.791273613
60,5,10,20,0.02,485912.12,-0.385158797,0.955390493,4.85912125,222754.66,-0.213087475,1.647006155,2.227546563,0.81210359,0.869274217,0.685920487,0.789099431
60,3,10,20,0.01,688825.25,-0.276909869,1.203791369,6.8882525,209587.25,-0.174985701,1.646326561,2.0958725,0.755012872,0.869111488,0.742080458,0.788734939
30,3,10,20,0.02,1135173.9,-0.280393002,1.436792729,11.35173875,208690.17,-0.175517785,1.508992514,2.086901719,0.751123356,0.836226915,0.741296195,0.776215489
60,3,5,20,0.01,958190,-0.314272804,1.34774019,9.5819,198076.94,-0.173611945,1.529824812,1.980769375,0.705106914,0.841215199,0.744105302,0.763475805
60,4,20,10,0.01,1085212.1,-0.314945518,1.427467677,10.85212125,202691.5,-0.185624811,1.496347048,2.026915,0.725114552,0.833198965,0.726398981,0.761570832
90,3,5,20,0.01,213182.17,-0.335067584,0.707644032,2.131821719,162731.97,-0.111897331,1.746387919,1.627319688,0.551859598,0.893071133,0.835069334,0.760000022
30,4,10,5,0.02,613913.25,-0.31441984,1.140905209,6.1391325,204293.58,-0.192735158,1.475072204,2.042935781,0.732060779,0.828104713,0.715918711,0.758694734
30,5,20,10,0.01,1237263.8,-0.281967327,1.478201227,12.3726375,201487.64,-0.189054361,1.483267553,2.014876406,0.719894906,0.830067086,0.721344008,0.757102
60,3,10,10,0.01,706387.25,-0.276925107,1.229727406,7.0638725,203687.9,-0.215792373,1.54880484,2.036879063,0.72943473,0.845759958,0.681933612,0.7523761
60,4,10,10,0.02,667338.8,-0.280393137,1.182922785,6.673388125,199208,-0.210436241,1.542081116,1.99208,0.71001093,0.844149965,0.689828263,0.747996386
30,3,5,5,0.01,1157167,-0.280392748,1.48347507,11.57167,191700.95,-0.186846703,1.40284398,1.917009531,0.677462174,0.810809699,0.724597978,0.737623284
30,5,20,5,0.02,1092732.9,-0.292260999,1.337775586,10.92732875,202317.4,-0.220285093,1.412901355,2.023174063,0.723492571,0.813217933,0.675311583,0.737340696
90,4,20,20,0.02,742727.9,-0.385158867,1.198062597,7.42727875,191656.06,-0.205086574,1.416855708,1.916560625,0.677267539,0.814164801,0.697713386,0.729715242
30,5,5,10,0.02,754851.8,-0.280392859,1.203004113,7.548518125,197309.67,-0.230586274,1.447387519,1.973096719,0.701780234,0.821475628,0.660128195,0.727794686
90,3,20,5,0.01,871771.06,-0.385158944,1.282024926,8.717710625,185789.5,-0.194416248,1.415486519,1.857895,0.651831529,0.813836949,0.713440874,0.726369784
90,3,20,20,0.02,866026.25,-0.385158887,1.275610191,8.6602625,189087.84,-0.205086428,1.417581386,1.890878438,0.666132358,0.814338564,0.697713601,0.726061507
30,3,5,10,0.01,1002889.8,-0.406459077,1.344121041,10.02889813,195581.61,-0.221851076,1.402911119,1.955816094,0.694287769,0.810825775,0.673003409,0.726038985
60,4,5,5,0.02,880623,-0.314272954,1.325346056,8.80623,187620.55,-0.196572581,1.363157188,1.876205469,0.65977051,0.801306715,0.710262555,0.723779927
90,5,10,10,0.01,591606.9,-0.2803929,1.156003564,5.91606875,177839.66,-0.171884273,1.383317297,1.778396563,0.617362912,0.806134044,0.746651797,0.723382917
30,5,10,5,0.02,945285.1,-0.433636684,1.281512224,9.45285125,195357.47,-0.240756528,1.421039577,1.953574688,0.693315949,0.815166626,0.645137786,0.717873454
90,4,10,10,0.02,1046647.9,-0.314272812,1.412141332,10.46647875,188019.58,-0.22498017,1.430564366,1.880195781,0.661500614,0.817447332,0.668391292,0.715779746
30,4,5,5,0.01,1080839.5,-0.289714451,1.408969555,10.808395,185624.6,-0.198439437,1.28728192,1.856245938,0.651116535,0.783138418,0.70751091,0.713921954
30,3,5,20,0.01,1334529.5,-0.281051666,1.543934915,13.345295,189838.95,-0.219847979,1.330588755,1.898389531,0.669388988,0.793508219,0.675955866,0.712951024
30,4,10,5,0.01,1009550.7,-0.297415263,1.399030151,10.09550688,189854.9,-0.226453182,1.355538935,1.898549063,0.669458157,0.799482528,0.666220151,0.711720279
60,3,20,20,0.02,267081.06,-0.273662762,0.791069338,2.670810625,185995.89,-0.210506375,1.324520492,1.859958906,0.65272639,0.792055177,0.68972489,0.711502152
90,4,5,20,0.02,997709.6,-0.385158909,1.378665183,9.97709625,181643.36,-0.206366311,1.320885045,1.816433594,0.633854857,0.791184671,0.695827122,0.70695555
30,3,20,20,0.01,1004739.56,-0.280392903,1.367533939,10.04739563,179970.02,-0.195957854,1.249204281,1.799700156,0.626599639,0.774020746,0.71116863,0.703929672
30,5,5,10,0.01,828016.4,-0.280392868,1.309272133,8.28016375,182499.02,-0.215969832,1.323807845,1.824990156,0.637564777,0.791884534,0.681672046,0.703707119
90,4,20,5,0.01,720256.94,-0.361430207,1.216592117,7.202569375,181514.84,-0.217105507,1.340887498,1.815148438,0.633297644,0.795974249,0.679998123,0.703090005
30,3,20,20,0.02,515359.8,-0.334647571,1.006734893,5.153598125,176875.8,-0.184379616,1.181467694,1.768757969,0.613183848,0.757801252,0.728234332,0.699739811
30,4,5,20,0.02,425345.97,-0.315976851,0.891853639,4.253459688,187308.1,-0.241985777,1.346571218,1.873080938,0.658415788,0.797335213,0.64332594,0.699692313
60,4,10,20,0.02,801301.1,-0.351017769,1.219085137,8.01301125,175093.39,-0.207396745,1.319716742,1.750933906,0.605455762,0.790904921,0.694308318,0.696889667
60,4,20,20,0.02,763614.4,-0.314272691,1.244669068,7.63614375,172424.52,-0.188075245,1.213572228,1.724245156,0.593884159,0.765488667,0.722787173,0.694053333
60,5,5,20,0.01,596380.44,-0.280410072,1.143444489,5.963804375,171905.28,-0.186039652,1.207671103,1.719052813,0.591632883,0.764075646,0.725787527,0.693832019
90,5,20,10,0.01,222779.75,-0.179587924,0.817045604,2.2277975,170773.77,-0.215196945,1.359517162,1.707737656,0.586726903,0.800435113,0.682811242,0.689991086
30,4,5,20,0.01,688161.8,-0.318155514,1.193548952,6.881618125,168657.33,-0.187268241,1.171456237,1.686573281,0.577550537,0.755404013,0.723976653,0.685643734
30,4,20,5,0.01,1309216.9,-0.261246023,1.484091471,13.09216875,172260.03,-0.207069582,1.196099055,1.722600313,0.593170994,0.761304724,0.694790538,0.683088752
30,4,10,10,0.01,1028961.56,-0.280392723,1.395363284,10.28961563,179509.2,-0.244054262,1.24175499,1.795092031,0.624601667,0.772237016,0.640277104,0.679038596
30,3,10,20,0.01,689456.6,-0.280845336,1.141778672,6.89456625,158826.75,-0.172153465,1.173128946,1.5882675,0.534927505,0.755804542,0.746255023,0.67899569
90,5,20,10,0.02,942519.1,-0.385158428,1.329511822,9.42519125,172936.38,-0.230670567,1.223122563,1.72936375,0.596103459,0.76777549,0.660003952,0.674627634
30,5,20,5,0.01,939149.2,-0.280393012,1.381334736,9.391491875,172244.62,-0.225668889,1.187526174,1.72244625,0.593104197,0.759251952,0.667376157,0.673244102
90,3,5,5,0.01,616365.2,-0.384667774,1.134199843,6.163651875,160391.33,-0.196358058,1.186202468,1.603913281,0.541711141,0.758934991,0.710578751,0.670408294
90,4,20,10,0.02,583472,-0.315400418,1.106751645,5.83472,173055.78,-0.257831587,1.31596793,1.730557813,0.596621176,0.79000727,0.619970065,0.66886617
90,5,10,5,0.01,591794.2,-0.384204222,1.117806719,5.917941875,157811.2,-0.204214325,1.161117692,1.578112031,0.530524338,0.752928453,0.698999035,0.660817275
30,3,5,5,0.02,509719.72,-0.384964305,0.983037106,5.097197188,161562.53,-0.20936897,1.089210657,1.615625313,0.546789198,0.735710348,0.691401364,0.65796697
30,4,20,5,0.02,679689.9,-0.385158795,1.134188566,6.79689875,166714.89,-0.238615665,1.088393621,1.667148906,0.569128593,0.735514709,0.648293303,0.650978868
30,4,10,20,0.02,1496763.2,-0.280396903,1.58131491,14.9676325,162032.8,-0.233468971,1.065948303,1.620327969,0.548828157,0.730140188,0.655879254,0.6449492
90,3,20,10,0.02,522051.06,-0.449967077,0.922155318,5.220510625,162087.45,-0.253335898,1.107461797,1.620874531,0.549065133,0.740080574,0.626596469,0.638580726
90,5,5,5,0.02,372863,-0.28038192,0.961289231,3.72863,147186.6,-0.202788029,1.034447419,1.471865938,0.484458577,0.722597316,0.701101318,0.636052404
30,5,5,20,0.02,564440.94,-0.385158856,1.023971574,5.644409375,133850.17,-0.151256239,0.958495546,1.338501719,0.426635047,0.704410676,0.777056413,0.636034045
30,3,20,5,0.01,660032.1,-0.384119173,1.164856426,6.60032125,168103.06,-0.279922133,1.110111562,1.681030625,0.575147374,0.740715059,0.587409785,0.634424073
